frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
49,2.0417,2.0417,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0000,0.3118,0.0000,0.0257,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
50,2.0833,2.0833,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
51,2.1250,2.1250,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,mood.consideration#finished
52,2.1667,2.1667,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
53,2.2083,2.2083,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
54,2.2500,2.2500,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
55,2.2917,2.2917,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
56,2.3333,2.3333,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
57,2.3750,2.3750,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
58,2.4167,2.4167,,,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
