frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
54,2.2500,2.2500,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
55,2.2917,2.2917,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
56,2.3333,2.3333,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
57,2.3750,2.3750,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
58,2.4167,2.4167,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
59,2.4583,2.4583,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0886,-0.2461,0.0886,1,1,,
60,2.5000,2.5000,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2419,-0.6720,0.2419,1,1,,
61,2.5417,2.5417,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2713,-0.7516,0.2713,1,1,,
62,2.5833,2.5833,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2795,-0.7619,0.2795,1,1,,
63,2.6250,2.6250,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2915,-0.7769,0.2915,1,1,,
64,2.6667,2.6667,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3030,-0.7912,0.3030,1,1,,
